Node;Parents;Starts;Ends;;a;2
N42;;1;2;;;
N41;;1;2;;;
N10;N41 N42;2;1;;;
N40;;2;1;;;
N39;;3;4;;;
N38;;3;4;;;
N9;N39 N40;5;4;;;
N37;;5;4;;;
N8;N37 N38;6;7;;;
N36;;6;7;;;
N35;;8;9;;;
N34;;8;9;;;
N7;N35 N36;9;10;;;
N33;;9;10;;;
N6;N33 N34;10;11;;;
N32;;10;11;;;
N17;N6 N7;11;12;;;
N31;;11;12;;;
N5;N31 N32;12;13;;;
N30;;12;13;;;
N29;;13;14;;;
N28;;13;14;;;
N4;N29 N30;15;16;;;
N27;;15;16;;;
N3;N27 N28;16;17;;;
N26;;16;17;;;
N13;N3 N4;17;18;;;
N25;;17;18;;;
N2;N25 N26;18;19;;;
N24;;18;19;;;
N23;;19;20;;;
N22;;19;20;;;
N1;N23 N24;20;21;;;
N21;;20;21;;;
N0;N21 N22;21;22;;;
N11;N0 N1;22;23;;;
N12;N11 N2;23;24;;;
N14;N5 N12;24;25;;;
N15;N13 N14;25;26;;;
N16;N15 N8;26;27;;;
N18;N17 N16;27;28;;;
N19;N18 N9;28;29;;;
N20;N10 N19;29;30;;;
N43;N20;30;31;;;